Sample,even,location,small_cluster,logit,animal,grouping
248.1.02,0.765482396,v_gp,P,1.18297556,248,P_1
248.1.05,0.821350211,v_gp,P,1.52552218,248,P_1
248.1.08,0.774549249,v_gp,P,1.23417951,248,P_1
248.2.02,0.806283234,v_gp,P,1.42603796,248,P_2
248.2.05,0.727881623,v_gp,P,0.98390125,248,P_2
248.2.08,0.738815181,v_gp,P,1.03981952,248,P_2
249.1.02,0.806149898,v_gp,H,1.42518451,249,H_1
249.1.08,0.688147474,v_gp,H,0.79147276,249,H_1
249.2.02,0.734681763,v_gp,H,1.01850743,249,H_2
249.2.05,0.705214491,v_gp,H,0.872254,249,H_2
249.2.08,0.705481163,v_gp,H,0.87353711,249,H_2
251.1.02,0.596145583,v_gp,P,0.38943044,251,P_1
251.1.05,0.599612321,v_gp,P,0.40385004,251,P_1
251.1.08,0.778415995,v_gp,P,1.25645931,251,P_1
251.2.02,0.887351567,v_gp,P,2.0639695,251,P_2
251.2.05,0.7721492,v_gp,P,1.22048677,251,P_2
251.2.08,0.739081854,v_gp,P,1.04120194,251,P_2
253.1.02,0.733748411,v_gp,H,1.01372452,253,H_1
253.1.05,0.636946422,v_gp,H,0.56213512,253,H_1
253.2.02,0.693614253,v_gp,H,0.81707106,253,H_2
253.2.05,0.694547605,v_gp,H,0.82146677,253,H_2
253.2.08,0.746015329,v_gp,H,1.07747223,253,H_2
254.1.02,0.868951189,v_gp,H,1.8917171,254,H_1
254.1.05,0.807083251,v_gp,H,1.43116808,254,H_1
254.1.08,0.737615157,v_gp,H,1.03360993,254,H_1
254.2.02,0.765082388,v_gp,H,1.18074866,254,H_2
254.2.05,0.84548404,v_gp,H,1.6996119,254,H_2
254.2.08,0.799216423,v_gp,H,1.38140418,254,H_2
256.1.02,0.813883391,v_gp,H,1.47544369,256,H_1
256.1.05,0.913885446,v_gp,H,2.3620268,256,H_1
256.1.08,0.597345608,v_gp,H,0.39441725,256,H_1
256.2.02,0.918018864,v_gp,H,2.41572877,256,H_2
256.2.05,0.757482232,v_gp,H,1.1389251,256,H_2
256.2.08,0.662413612,v_gp,H,0.67406871,256,H_2
257.1.02,0.468809633,v_gp,P,-0.12492368,257,P_1
257.1.05,0.432808894,v_gp,P,-0.27040002,257,P_1
257.2.02,0.771482519,v_gp,P,1.2167013,257,P_2
257.2.05,0.778816003,v_gp,P,1.2587799,257,P_2
257.2.08,0.753215477,v_gp,P,1.11583577,257,P_2
258.1.02,0.728281632,v_gp,P,0.98592171,258,P_1
258.1.05,0.412008466,v_gp,P,-0.35566865,258,P_1
258.2.02,0.544677859,v_gp,P,0.17918936,258,P_2
258.2.05,0.727881623,v_gp,P,0.98390125,258,P_2
258.2.08,0.836150515,v_gp,P,1.62986041,258,P_2
259.1.05,0.645879938,v_gp,H,0.60097762,259,H_1
259.1.08,0.744415297,v_gp,H,1.0690452,259,H_1
259.2.02,0.843083991,v_gp,H,1.6813559,259,H_2
259.2.05,0.765749068,v_gp,H,1.18446163,259,H_2
259.2.08,0.693614253,v_gp,H,0.81707106,259,H_2
260.1.02,0.795349676,v_gp,P,1.35747908,260,P_1
260.1.05,0.503610348,v_gp,P,0.01444164,260,P_1
260.1.08,0.422542016,v_gp,P,-0.3123468,260,P_1
260.2.02,0.654013439,v_gp,P,0.63672797,260,P_2
260.2.08,0.753215477,v_gp,P,1.11583577,260,P_2
